2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 1
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 2
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 3
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 4
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 5
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 6
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 7
2024-10-10 15:19:47,138 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:47,170 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:47,227 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:47,272 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:47,363 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:48,621 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:48,629 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:48,634 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:48,637 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:48,653 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:49,459 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:49,464 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:49,469 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:49,489 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:49,500 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:50,677 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:50,685 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:50,688 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:50,715 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:50,721 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:51,540 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:51,778 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:51,779 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:51,786 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:51,926 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:52,339 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:52,855 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:53,077 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:53,419 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:53,429 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:53,437 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:53,628 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:54,018 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:54,023 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:54,059 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:54,338 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:55,489 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:55,497 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:55,521 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:55,528 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:56,069 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:56,109 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:56,345 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:56,640 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:56,863 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:19:56,944 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
